iter	Accuracy	MultiClass
0	0.421375	1.878116292
1	0.488125	1.821251721
2	0.524875	1.767030548
3	0.581375	1.724967819
4	0.6355	1.681693761
5	0.632375	1.642402931
6	0.637125	1.606889793
7	0.642875	1.574281318
8	0.638625	1.546275597
9	0.646375	1.522346356
10	0.66725	1.493779292
11	0.67425	1.472419604
12	0.694125	1.447754715
13	0.713625	1.427106557
14	0.698375	1.408761287
15	0.6995	1.383976759
16	0.702125	1.36321399
17	0.714125	1.347573326
18	0.713	1.331674042
19	0.72	1.31455218
20	0.727125	1.297376432
21	0.720625	1.280286571
22	0.726	1.264161027
23	0.7385	1.251684578
24	0.7445	1.237099975
25	0.745	1.223608547
26	0.740125	1.207711691
27	0.750875	1.193210492
28	0.752125	1.177738335
29	0.761	1.167506303
30	0.7735	1.154833007
31	0.776125	1.142164462
32	0.778625	1.13209313
33	0.7845	1.122054858
34	0.78475	1.107368768
35	0.790375	1.096573571
36	0.786375	1.086729295
37	0.790625	1.077014195
38	0.795125	1.067354573
39	0.796375	1.057093212
40	0.797375	1.046889769
41	0.803125	1.037332755
42	0.803375	1.028146589
43	0.81175	1.018154899
44	0.818875	1.010164209
45	0.819125	1.001320893
46	0.81975	0.9933799796
47	0.82125	0.9858134067
48	0.82175	0.9721355523
49	0.82325	0.9630716353
50	0.824875	0.9554039145
51	0.839375	0.9449402273
52	0.840125	0.9371719462
53	0.84025	0.9288970985
54	0.84025	0.9219728508
55	0.84175	0.9145599457
56	0.8495	0.9066523885
57	0.85125	0.900775027
58	0.853125	0.8950948159
59	0.855	0.887522047
60	0.856	0.8815959572
61	0.854375	0.8758490226
62	0.860375	0.870423427
63	0.858125	0.8649326689
64	0.861375	0.8587330831
65	0.866125	0.8499244499
66	0.869125	0.839334304
67	0.8715	0.833375973
68	0.871125	0.8277616109
69	0.8705	0.8226603673
70	0.871125	0.8171578947
71	0.8785	0.8110699209
72	0.878375	0.8064850655
73	0.8785	0.8015127838
74	0.877875	0.7957547439
75	0.8795	0.7916931213
76	0.882375	0.785866864
77	0.882875	0.7816226581
78	0.883375	0.7768004782
79	0.884375	0.7719795285
80	0.884625	0.7680653004
81	0.884625	0.7637342229
82	0.884625	0.7594121536
83	0.88475	0.7547346785
84	0.88475	0.7505283313
85	0.884875	0.7451410504
86	0.88575	0.7406592806
87	0.884875	0.7350372946
88	0.886	0.7311536324
89	0.88675	0.7266284836
90	0.887625	0.7227074481
91	0.88775	0.7185602846
92	0.887625	0.7145493651
93	0.8875	0.7113852761
94	0.887625	0.7063354491
95	0.8895	0.702500496
96	0.888	0.698474647
97	0.888375	0.693265128
98	0.89175	0.6888467607
99	0.892375	0.6848513776
100	0.8925	0.681635956
